,uf,cnae_grupo,contagem,seq,flag,contagem_ttl,%,flag_rede
208,BA,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,1337,6,0,34483,0.03877272859089986,0
209,BA,"Serviços de catering, bufê e outros serviços de comida preparada",997,9,0,34483,0.028912797610416728,0
210,BA,Outros,17613,11,0,34483,0.5107734245860279,0
211,AP,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,178,1,0,1159,0.1535806729939603,0
212,AP,Restaurantes e outros serviços de alimentação e bebidas,87,2,0,1159,0.07506471095772217,0
213,AP,Comércio varejista não-especializado,51,5,0,1159,0.04400345125107852,0
214,AP,"Comércio varejista de produtos alimentícios, bebidas e fumo",61,4,0,1159,0.05263157894736842,0
215,AP,Outras atividades de serviços pessoais,67,3,0,1159,0.057808455565142365,0
216,AP,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",49,6,0,1159,0.04227782571182054,0
217,AP,"Serviços de catering, bufê e outros serviços de comida preparada",38,8,0,1159,0.03278688524590164,0
218,AP,Atividades de organizações associativas não especificadas anteriormente,46,7,0,1159,0.03968938740293356,0
219,AP,Publicidade,34,9,0,1159,0.029335634167385678,0
220,AP,Outros,517,11,0,1159,0.4460742018981881,0
221,AM,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,601,1,0,5850,0.10273504273504273,0
222,AM,Restaurantes e outros serviços de alimentação e bebidas,428,2,0,5850,0.07316239316239316,0
223,AM,Comércio varejista não-especializado,305,4,0,5850,0.05213675213675214,0
224,AM,Outras atividades de serviços pessoais,309,3,0,5850,0.05282051282051282,0
225,AM,"Comércio varejista de produtos alimentícios, bebidas e fumo",232,7,0,5850,0.03965811965811966,0
226,AM,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,220,8,0,5850,0.037606837606837605,0
227,AM,Publicidade,262,5,0,5850,0.044786324786324785,0
228,AM,"Serviços de catering, bufê e outros serviços de comida preparada",187,9,0,5850,0.03196581196581197,0
229,AM,Atividades de organizações associativas não especificadas anteriormente,233,6,0,5850,0.03982905982905983,0
230,AM,Outros,2887,11,0,5850,0.4935042735042735,0
231,AL,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,753,1,0,6439,0.11694362478645752,0
232,AL,Restaurantes e outros serviços de alimentação e bebidas,473,2,0,6439,0.07345861158564995,0
233,AL,"Comércio varejista de produtos alimentícios, bebidas e fumo",419,3,0,6439,0.06507221618263706,0
234,AL,Comércio varejista não-especializado,296,5,0,6439,0.045969871097996585,0
235,AL,Outras atividades de serviços pessoais,386,4,0,6439,0.059947196769684734,0
236,AL,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,269,6,0,6439,0.04177667339649014,0
237,AL,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",208,7,0,6439,0.03230315266345706,0
238,AL,"Serviços de catering, bufê e outros serviços de comida preparada",180,10,0,6439,0.0279546513433763,0
239,AL,Outros,3081,11,0,6439,0.47849044882745767,0
240,AC,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,230,1,0,1293,0.17788089713843774,0
241,AC,Restaurantes e outros serviços de alimentação e bebidas,107,2,0,1293,0.08275328692962104,0
242,AC,Outras atividades de serviços pessoais,83,3,0,1293,0.06419180201082754,0
243,AC,Comércio varejista não-especializado,63,4,0,1293,0.048723897911832945,0
244,AC,"Comércio varejista de produtos alimentícios, bebidas e fumo",57,6,0,1293,0.04408352668213457,0
245,AC,Atividades de organizações associativas não especificadas anteriormente,61,5,0,1293,0.04717710750193349,0
246,AC,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,37,9,0,1293,0.028615622583139984,0
247,AC,Publicidade,51,7,0,1293,0.03944315545243619,0
248,AC,Atividades de associações de defesa de direitos sociais,50,8,0,1293,0.038669760247486466,0
249,AC,Outros,525,11,0,1293,0.4060324825986079,0
